review_row_id,sentence_id,sentence_text,company_name,cons_text,employee_flag,job_title,location,overall_review_rating,page_number,pros_text,rating_compensation_benefits,rating_culture_values,rating_job_security_advancement,rating_management,rating_work_life_balance,review_body_text,review_date,review_title,source_url,start_offset
1,1,Good company and exposure for junior level.,Cimb-Group,,former,Manager,,4,1,,0,0,0,0,0,Good company and exposure for junior level. Promotion can be very fast to some work function given the person is high performer in the team or department.,8 April 2026,Clear object,https://malaysia.indeed.com/cmp/Cimb-Group/reviews,0
1,2,Promotion can be very fast to some work function given the person is high performer in the team or department.,Cimb-Group,,former,Manager,,4,1,,0,0,0,0,0,Good company and exposure for junior level. Promotion can be very fast to some work function given the person is high performer in the team or department.,8 April 2026,Clear object,https://malaysia.indeed.com/cmp/Cimb-Group/reviews,0
2,1,"brilliant training initiatives, cool projects & lots of learning opportunities substandard human element when management deals with employees, poor EQ and low empathy.",Cimb-Group,,former,Fusion programme,,4,1,,0,0,0,0,0,"brilliant training initiatives, cool projects & lots of learning opportunities substandard human element when management deals with employees, poor EQ and low empathy.",20 March 2026,Productive workplace,https://malaysia.indeed.com/cmp/Cimb-Group/reviews,0
3,1,I spent more than 10 years at Bank Islam and found the benefits to be quite comprehensive.,bank islam,,former,,,3,1,,0,0,0,0,0,"I spent more than 10 years at Bank Islam and found the benefits to be quite comprehensive. The work culture is generally positive with supportive and fun colleagues, and the bank offers good flexibility through work-from-home arrangements for specific departments. However, there are significant challenges regarding work-life balance, particularly in operations where the workload is often overwhelming. Since 2021, the bonus payouts (averaging 2 months) have not felt commensurate with the level of effort required. Furthermore, the promotion structure appears to be heavily influenced by seniority and favoritism rather than clear meritocracy, which can be discouraging for high-performers. Additionally, top management often feels disconnected from ground-level operational reality. While it is a stable organization, the compensation-to-effort ratio and career progression transparency need improvement.",8 March 2026,Comprehensive benefits with concerns over operational balance and promotion fairness,https://malaysia.indeed.com/cmp/Bank-Islam/reviews,0
3,2,"The work culture is generally positive with supportive and fun colleagues, and the bank offers good flexibility through work-from-home arrangements for specific departments.",bank islam,,former,,,3,1,,0,0,0,0,0,"I spent more than 10 years at Bank Islam and found the benefits to be quite comprehensive. The work culture is generally positive with supportive and fun colleagues, and the bank offers good flexibility through work-from-home arrangements for specific departments. However, there are significant challenges regarding work-life balance, particularly in operations where the workload is often overwhelming. Since 2021, the bonus payouts (averaging 2 months) have not felt commensurate with the level of effort required. Furthermore, the promotion structure appears to be heavily influenced by seniority and favoritism rather than clear meritocracy, which can be discouraging for high-performers. Additionally, top management often feels disconnected from ground-level operational reality. While it is a stable organization, the compensation-to-effort ratio and career progression transparency need improvement.",8 March 2026,Comprehensive benefits with concerns over operational balance and promotion fairness,https://malaysia.indeed.com/cmp/Bank-Islam/reviews,0
3,3,"However, there are significant challenges regarding work-life balance, particularly in operations where the workload is often overwhelming.",bank islam,,former,,,3,1,,0,0,0,0,0,"I spent more than 10 years at Bank Islam and found the benefits to be quite comprehensive. The work culture is generally positive with supportive and fun colleagues, and the bank offers good flexibility through work-from-home arrangements for specific departments. However, there are significant challenges regarding work-life balance, particularly in operations where the workload is often overwhelming. Since 2021, the bonus payouts (averaging 2 months) have not felt commensurate with the level of effort required. Furthermore, the promotion structure appears to be heavily influenced by seniority and favoritism rather than clear meritocracy, which can be discouraging for high-performers. Additionally, top management often feels disconnected from ground-level operational reality. While it is a stable organization, the compensation-to-effort ratio and career progression transparency need improvement.",8 March 2026,Comprehensive benefits with concerns over operational balance and promotion fairness,https://malaysia.indeed.com/cmp/Bank-Islam/reviews,0
3,4,"Since 2021, the bonus payouts (averaging 2 months) have not felt commensurate with the level of effort required.",bank islam,,former,,,3,1,,0,0,0,0,0,"I spent more than 10 years at Bank Islam and found the benefits to be quite comprehensive. The work culture is generally positive with supportive and fun colleagues, and the bank offers good flexibility through work-from-home arrangements for specific departments. However, there are significant challenges regarding work-life balance, particularly in operations where the workload is often overwhelming. Since 2021, the bonus payouts (averaging 2 months) have not felt commensurate with the level of effort required. Furthermore, the promotion structure appears to be heavily influenced by seniority and favoritism rather than clear meritocracy, which can be discouraging for high-performers. Additionally, top management often feels disconnected from ground-level operational reality. While it is a stable organization, the compensation-to-effort ratio and career progression transparency need improvement.",8 March 2026,Comprehensive benefits with concerns over operational balance and promotion fairness,https://malaysia.indeed.com/cmp/Bank-Islam/reviews,0
3,5,"Furthermore, the promotion structure appears to be heavily influenced by seniority and favoritism rather than clear meritocracy, which can be discouraging for high-performers.",bank islam,,former,,,3,1,,0,0,0,0,0,"I spent more than 10 years at Bank Islam and found the benefits to be quite comprehensive. The work culture is generally positive with supportive and fun colleagues, and the bank offers good flexibility through work-from-home arrangements for specific departments. However, there are significant challenges regarding work-life balance, particularly in operations where the workload is often overwhelming. Since 2021, the bonus payouts (averaging 2 months) have not felt commensurate with the level of effort required. Furthermore, the promotion structure appears to be heavily influenced by seniority and favoritism rather than clear meritocracy, which can be discouraging for high-performers. Additionally, top management often feels disconnected from ground-level operational reality. While it is a stable organization, the compensation-to-effort ratio and career progression transparency need improvement.",8 March 2026,Comprehensive benefits with concerns over operational balance and promotion fairness,https://malaysia.indeed.com/cmp/Bank-Islam/reviews,0
3,6,"Additionally, top management often feels disconnected from ground-level operational reality.",bank islam,,former,,,3,1,,0,0,0,0,0,"I spent more than 10 years at Bank Islam and found the benefits to be quite comprehensive. The work culture is generally positive with supportive and fun colleagues, and the bank offers good flexibility through work-from-home arrangements for specific departments. However, there are significant challenges regarding work-life balance, particularly in operations where the workload is often overwhelming. Since 2021, the bonus payouts (averaging 2 months) have not felt commensurate with the level of effort required. Furthermore, the promotion structure appears to be heavily influenced by seniority and favoritism rather than clear meritocracy, which can be discouraging for high-performers. Additionally, top management often feels disconnected from ground-level operational reality. While it is a stable organization, the compensation-to-effort ratio and career progression transparency need improvement.",8 March 2026,Comprehensive benefits with concerns over operational balance and promotion fairness,https://malaysia.indeed.com/cmp/Bank-Islam/reviews,0
3,7,"While it is a stable organization, the compensation-to-effort ratio and career progression transparency need improvement.",bank islam,,former,,,3,1,,0,0,0,0,0,"I spent more than 10 years at Bank Islam and found the benefits to be quite comprehensive. The work culture is generally positive with supportive and fun colleagues, and the bank offers good flexibility through work-from-home arrangements for specific departments. However, there are significant challenges regarding work-life balance, particularly in operations where the workload is often overwhelming. Since 2021, the bonus payouts (averaging 2 months) have not felt commensurate with the level of effort required. Furthermore, the promotion structure appears to be heavily influenced by seniority and favoritism rather than clear meritocracy, which can be discouraging for high-performers. Additionally, top management often feels disconnected from ground-level operational reality. While it is a stable organization, the compensation-to-effort ratio and career progression transparency need improvement.",8 March 2026,Comprehensive benefits with concerns over operational balance and promotion fairness,https://malaysia.indeed.com/cmp/Bank-Islam/reviews,0
