review_row_id,review_body_text,sentence_id,sentence_text,company_name,cons_text,employee_flag,job_title,location,overall_review_rating,page_number,pros_text,rating_compensation_benefits,rating_culture_values,rating_job_security_advancement,rating_management,rating_work_life_balance,review_date,review_title,source_url,start_offset
1,"The Hire Purchase Department at Public Bank provides a structured and professional working environment that offers valuable exposure to consumer financing and credit operations. The department is well-organized, with clear procedures for loan processing, credit assessment, documentation, and compliance with banking regulations. This allows staff and trainees to understand the full hire purchase financing cycle, particularly for vehicle loans.",1,The Hire Purchase Department at Public Bank provides a structured and professional working environment that offers valuable exposure to consumer financing and credit operations.,Public-Bank-Berhad,,former,Hire Purchase Financing,KL,5,1,,0,0,0,0,0,29 December 2025,Productive,https://malaysia.indeed.com/cmp/Public-Bank-Berhad/reviews,0
1,"The Hire Purchase Department at Public Bank provides a structured and professional working environment that offers valuable exposure to consumer financing and credit operations. The department is well-organized, with clear procedures for loan processing, credit assessment, documentation, and compliance with banking regulations. This allows staff and trainees to understand the full hire purchase financing cycle, particularly for vehicle loans.",2,"The department is well-organized, with clear procedures for loan processing, credit assessment, documentation, and compliance with banking regulations.",Public-Bank-Berhad,,former,Hire Purchase Financing,KL,5,1,,0,0,0,0,0,29 December 2025,Productive,https://malaysia.indeed.com/cmp/Public-Bank-Berhad/reviews,0
1,"The Hire Purchase Department at Public Bank provides a structured and professional working environment that offers valuable exposure to consumer financing and credit operations. The department is well-organized, with clear procedures for loan processing, credit assessment, documentation, and compliance with banking regulations. This allows staff and trainees to understand the full hire purchase financing cycle, particularly for vehicle loans.",3,"This allows staff and trainees to understand the full hire purchase financing cycle, particularly for vehicle loans.",Public-Bank-Berhad,,former,Hire Purchase Financing,KL,5,1,,0,0,0,0,0,29 December 2025,Productive,https://malaysia.indeed.com/cmp/Public-Bank-Berhad/reviews,0
2,"This company provides a supportive and collaborative working environment where employees are encouraged to learn and grow professionally. The management is approachable, teamwork is highly valued, and there are good opportunities to gain hands-on experience and develop both technical and soft skills. Overall, it is a great place to build a strong career foundation.",1,This company provides a supportive and collaborative working environment where employees are encouraged to learn and grow professionally.,Cimb-Group,,former,protege,KL Sentral,5,1,,0,0,0,0,0,16 December 2025,friendly and supportive team.,https://malaysia.indeed.com/cmp/Cimb-Group/reviews,0
2,"This company provides a supportive and collaborative working environment where employees are encouraged to learn and grow professionally. The management is approachable, teamwork is highly valued, and there are good opportunities to gain hands-on experience and develop both technical and soft skills. Overall, it is a great place to build a strong career foundation.",2,"The management is approachable, teamwork is highly valued, and there are good opportunities to gain hands-on experience and develop both technical and soft skills.",Cimb-Group,,former,protege,KL Sentral,5,1,,0,0,0,0,0,16 December 2025,friendly and supportive team.,https://malaysia.indeed.com/cmp/Cimb-Group/reviews,0
2,"This company provides a supportive and collaborative working environment where employees are encouraged to learn and grow professionally. The management is approachable, teamwork is highly valued, and there are good opportunities to gain hands-on experience and develop both technical and soft skills. Overall, it is a great place to build a strong career foundation.",3,"Overall, it is a great place to build a strong career foundation.",Cimb-Group,,former,protege,KL Sentral,5,1,,0,0,0,0,0,16 December 2025,friendly and supportive team.,https://malaysia.indeed.com/cmp/Cimb-Group/reviews,0
3,"Not support newcommer.On a personal level, they are approachable and supportive, creating a friendly and collaborative environment. They genuinely care about the team’s well-being and motivate us with positivity and encouragement. This balance of professionalism and human touch makes working under them both inspiring and enjoyable",1,Not support newcommer.,RHB Bank Berhad,,former,Sale,Ipoh,3,1,,0,0,0,0,0,14 December 2025,Bossy,https://malaysia.indeed.com/cmp/Rhb-Bank-Berhad/reviews,0
3,"Not support newcommer.On a personal level, they are approachable and supportive, creating a friendly and collaborative environment. They genuinely care about the team’s well-being and motivate us with positivity and encouragement. This balance of professionalism and human touch makes working under them both inspiring and enjoyable",2,"On a personal level, they are approachable and supportive, creating a friendly and collaborative environment.",RHB Bank Berhad,,former,Sale,Ipoh,3,1,,0,0,0,0,0,14 December 2025,Bossy,https://malaysia.indeed.com/cmp/Rhb-Bank-Berhad/reviews,0
3,"Not support newcommer.On a personal level, they are approachable and supportive, creating a friendly and collaborative environment. They genuinely care about the team’s well-being and motivate us with positivity and encouragement. This balance of professionalism and human touch makes working under them both inspiring and enjoyable",3,They genuinely care about the team’s well-being and motivate us with positivity and encouragement.,RHB Bank Berhad,,former,Sale,Ipoh,3,1,,0,0,0,0,0,14 December 2025,Bossy,https://malaysia.indeed.com/cmp/Rhb-Bank-Berhad/reviews,0
3,"Not support newcommer.On a personal level, they are approachable and supportive, creating a friendly and collaborative environment. They genuinely care about the team’s well-being and motivate us with positivity and encouragement. This balance of professionalism and human touch makes working under them both inspiring and enjoyable",4,This balance of professionalism and human touch makes working under them both inspiring and enjoyable,RHB Bank Berhad,,former,Sale,Ipoh,3,1,,0,0,0,0,0,14 December 2025,Bossy,https://malaysia.indeed.com/cmp/Rhb-Bank-Berhad/reviews,0
